year,population_group,murder_manslaughter,forcible_rape,robbery,aggravated_assault,violent_total,burglary,larceny_theft,motor_vehicle_theft,arson,property_total,grand_total,,,
2016,400000+,29,245,610,"1,647","2,531","2,111","11,571","3,125",68,"16,875","19,406",,,
2016,250000_399999,11,222,191,583,1007,"1,261","7,117",352,80,"8,810","9,817",,,
2016,5000_99999,4,202,98,599,903,"1,668","8,686",660,53,"11,067","11,970",,,
2016,under_5000,1,17,6,98,122,183,722,67,5,977,1099,,,
2016,counties,6,100,27,455,588,"1,027","2,857",432,21,"4,337","4,925",,,
2016,state_property,0,15,3,24,42,15,271,14,1,301,343,,,
2015,400000+,48,174,655,"1,452",2329,"2,160","11,558","2,543",82,"16,343","18,672",,,
2015,250000_399999,2,193,214,617,1026,"1,328","7,344",361,100,"9,133","10,159",,,
2015,5000_99999,6,189,87,505,787,"1,487","8,658",542,52,"10,739","11,526",,,
2015,under_5000,2,21,3,77,103,155,717,70,9,951,1054,,,
2015,counties,7,68,30,440,545,"1,076","2,874",380,35,"4,365","4,910",,,
2015,state_property,1,8,2,6,17,22,232,10,3,267,284,,,
2014,400000+,32,180,723,"1,523",2458,"2,997","12,910","3,146",78,"19,131","21,589",,,
2014,250000_399999,8,152,205,554,919,"1,305","7,452",325,68,"9,150","10,069",,,
2014,5000_99999,5,182,92,590,869,"1,939","9,618",524,46,"12,127","12,996",,,
2014,under_5000,0,18,0,62,80,129,663,42,1,835,915,,,
2014,counties,8,60,19,343,430,"1,265","3,175",379,13,"4,832","5,262",,,
2014,state_property,1,5,2,11,19,29,321,17,0,367,386,,,
2013,400000+,42,184,718,"1,505",2449,"3,509","12,519","3,080",82,"19,190","21,639",,,
2013,250000_399999,5,142,212,631,990,"1,423","7,625",306,53,"9,407","10,397",,,
2013,5000_99999,3,192,83,399,677,"2,171","9,728",562,53,"12,514","13,191",,,
2013,under_5000,0,14,0,59,73,160,668,39,5,872,945,,,
2013,counties,6,57,15,229,307,"1,183","3,317",342,18,"4,860","5,167",,,
2013,state_property,0,3,3,15,21,39,354,14,1,408,429,,,
2012,400000+,41,187,815,1442,2485,"3,311","13,120",2747,73,"19,251","21,736",,,
2012,250000_399999,3,182,197,668,1050,1616,8244,311,26,"10,197",11247,,,
2012,5000_99999,4,201,84,347,636,"1,889","10,292",608,80,"12,869","13,505",,,
2012,under_5000,0,22,3,59,84,166,796,43,4,"1,009",1093,,,
2012,counties,4,71,19,227,321,"1,322","3,916",340,46,"5,624","5,945",,,
2012,state_property,0,1,2,8,11,22,348,2,2,374,385,,,
2011,400000+,43,220,696,1350,2309,"3,321","12,793",2650,88,"18,852","21,161",,,
2011,250000_399999,4,166,177,619,966,1401,8424,364,25,"10,214",11180,,,
2011,5000_99999,11,185,88,414,698,"1,939","10,284",517,69,"12,809","13,507",,,
2011,under_5000,1,27,3,50,81,190,760,52,8,"1,010",1091,,,
2011,counties,7,70,23,239,339,"1,320","3,900",387,23,"5,630","5,969",,,
2011,state_property,1,3,0,21,25,30,345,7,2,384,409,,,
2010,400000+,34,196,723,"1,312",2265,"3,046","12,091","2,197",119,"17,453","19,718",,,
2010,250000_399999,3,143,182,931,1259,"1,464","8,406",348,3,"10,221","11,480",,,
2010,5000_99999,8,206,87,470,771,"1,878","10,463",567,86,"12,994","13,765",,,
2010,under_5000,3,23,7,66,99,173,785,47,9,"1,014","1,113",,,
2010,counties,5,57,17,355,434,"1,316","3,585",351,32,"5,284","5,718",,,
2010,state_property,0,3,1,5,9,28,318,3,0,349,358,,,
2009,400000+,30,192,892,"1,249",2363,"3,228","12,938","2,125",130,"18,421","20,784",,,
2009,250000_399999,3,126,197,838,1164,"1,618","8,094",294,2,"10,008","11,176",,,
2009,5000_99999,5,172,97,518,792,"1,888","10,468",590,100,"13,046","13,837",,,
2009,under_5000,1,20,2,55,78,222,838,53,5,"1,118","1,196",,,
2009,counties,0,66,25,391,482,"1,343","3,618",343,42,"5,346","5,828",,,
2009,state_property,0,0,0,7,7,20,249,1,0,270,277,,,
2008,400000+,44,180,949,1475,2648,"3,175","12,892",2725,,"18,792","21,440",,,
2008,250000_399999,4,113,213,952,1282,1569,8251,348,1,"10,169","11,451",,,
2008,5000_99999,12,178,88,545,823,"1,920","10,319",580,81,"12,900","13,723",,,
2008,under_5000,0,28,4,60,92,218,833,43,10,"1,104","1,196",,,
2008,counties,7,53,30,360,450,"1,378","4,214",401,28,"6,021","6,471",,,
2008,state_property,0,1,3,8,12,53,320,3,0,376,388,,,
2007,400000+,42,189,818,1529,2578,"3,345","13,876",3436,,"20,657","23,235",,,
2007,250000_399999,6,112,173,1033,1324,1904,9428,423,2,"11,757","13,081",,,
2007,5000_99999,6,136,84,468,694,"1,724","10,453",664,87,"12,928","13,622",,,
2007,under_5000,1,20,3,48,72,235,990,77,12,"1,314","1,386",,,
2007,counties,9,58,27,375,469,"1,375","4,532",464,54,"6,425","6,894",,,
2007,state_property,0,1,0,8,9,58,342,6,0,406,416,,,