"","year","department","county","ft_so_m","ft_so_f","ft_c_m","ft_c_f","pt_so","pt_c","us_so_ft","us_so_pt","us_c_ft","us_c_pt","pop_covered","so_per_1000","num_res_so","total_crime","total_so","total_c","crime_per_1000","total_so_change"
"151",2011,"Sidney PD","Cheyenne",14,0,0,2,0,1,0,0,0,0,6817,2.1,0,114,14,2,0.0167228986357635,0
"152",2011,"So Sioux City PD","Dakota",26,1,0,1,0,2,0,0,0,0,13472,2,0,491,27,1,0.0364459619952494,0
"153",2011,"Wayne PD","Wayne",5,1,2,2,0,0,3,1,1,1,5711,1.1,0,0,6,4,0,0
"154",2011,"York PD","York",13,0,1,5,0,0,1,0,0,0,7835,1.7,0,259,13,6,0.0330567964262923,0
"155",2012,"Alliance PD","Box Butte",15,2,0,8,0,0,1,0,0,0,8608,2,0,0,17,8,0,-1
"156",2012,"Beatrice PD","Gage",18,4,4,6,0,0,0,0,0,0,12388,1.8,0,641,22,10,0.0517436228608331,-1
"157",2012,"Bellevue PD","Sarpy",86,8,5,9,0,8,2,0,2,1,51678,1.8,0,1893,94,14,0.036630674561709,0
"158",2012,"Blair PD","Washington",15,0,1,2,2,2,2,0,0,0,8069,1.9,0,197,15,3,0.0244144255793779,0
"159",2012,"Chadron PD","Dawes",11,2,4,2,0,1,1,0,0,1,5901,2.2,0,248,13,6,0.0420267751228605,1
"160",2012,"Columbus PD","Platte",32,3,2,14,0,0,1,0,1,0,22537,1.6,0,624,35,16,0.027687802280694,1
"161",2012,"Crete PD","Saline",9,2,2,4,0,1,0,0,0,0,7077,1.6,3,325,11,6,0.0459234138759361,0
"162",2012,"Fremont PD","Dodge",35,2,1,9,0,6,2,0,0,0,26641,1.4,4,1067,37,10,0.0400510491347922,-2
"163",2012,"Gering PD","Scotts Bluff",14,1,0,3,0,0,0,0,0,0,8578,1.7,0,192,15,3,0.0223828398228025,-1
"164",2012,"Grand Island PD","Hall",70,6,1,9,0,7,6,5,4,0,49583,1.5,0,3059,76,10,0.0616945324002178,8
"165",2012,"Hastings PD","Adams",32,5,0,11,0,6,2,0,1,0,24961,1.5,3,1431,37,11,0.0573294339169104,1
"166",2012,"Holdrege PD","Phelps",9,0,1,5,0,0,1,0,0,0,5531,1.6,0,186,9,6,0.0336286385825348,1
"167",2012,"Kearney PD","Buffalo",51,2,4,8,0,0,1,0,1,0,31392,1.7,0,1270,53,12,0.0404561671763507,0
"168",2012,"LaVista PD","Sarpy",32,2,2,3,0,1,0,0,0,0,16242,2.1,0,389,34,5,0.0239502524319665,-1
"169",2012,"Lexington PD","Dawson",17,1,0,2,0,0,0,0,0,0,10329,1.7,0,459,18,2,0.0444379901248911,0
"170",2012,"Lincoln PD","Lancaster",273,47,28,66,0,10,0,0,0,0,264175,1.2,0,15469,320,94,0.0585558815179332,1
"171",2012,"McCook PD","Red Willow",14,1,1,4,1,2,1,0,0,1,7735,1.9,0,341,15,5,0.0440853264382676,1
"172",2012,"Nebraska City PD","Otoe",13,1,0,1,0,0,2,0,0,0,7366,1.9,0,309,14,1,0.0419494976920988,0
"173",2012,"Norfolk PD","Madison",36,1,3,14,0,0,1,0,0,0,24418,1.5,0,1066,37,17,0.0436563191088541,0
"174",2012,"North Platte PD","Lincoln",40,1,4,21,0,1,1,0,0,0,24806,1.7,0,1883,41,25,0.0759090542610659,0
"175",2012,"Omaha PD","Douglas",646,149,38,110,36,25,4,0,25,0,417970,1.9,0,25663,795,148,0.0613991434791971,0
"176",2012,"Papillion PD","Sarpy",34,5,1,3,0,1,0,0,0,0,19466,2,0,629,39,4,0.0323127504366588,0
"177",2012,"Plattsmouth PD","Cass",13,1,0,3,0,0,0,0,0,0,6534,2.1,2,274,14,3,0.041934496479951,0
"178",2012,"Ralston PD","Sarpy",11,2,0,2,0,0,0,0,0,0,6077,2.1,0,304,13,2,0.0500246832318578,0
"179",2012,"Schuyler PD","Colfax",7,1,0,2,0,0,0,0,0,0,6313,1.3,0,0,8,2,0,0
"180",2012,"Scottsbluff PD","Scotts Bluff",26,2,1,4,0,0,4,0,0,0,15174,1.8,0,779,28,5,0.0513378146830104,0
"181",2012,"Seward PD","Seward",10,1,1,1,1,0,0,0,0,0,6995,1.6,0,158,11,2,0.0225875625446748,0
"182",2012,"Sidney PD","Cheyenne",14,0,0,2,0,1,0,0,0,0,6789,2.1,0,183,14,2,0.0269553689792311,0
"183",2012,"So Sioux City PD","Dakota",26,1,0,1,0,2,0,0,0,0,13386,2,0,483,27,1,0.0360824742268041,0
"184",2012,"Wayne PD","Wayne",7,0,4,1,1,0,2,0,0,0,5652,1.2,0,0,7,5,0,0
"185",2012,"York PD","York",13,0,1,5,0,0,1,0,0,0,7857,1.7,0,261,13,6,0.0332187857961054,0
"186",2013,"Alliance PD","Box Butte",15,1,0,6,0,0,0,0,1,0,8510,1.9,0,281,16,6,0.0330199764982374,-1
"187",2013,"Beatrice PD","Gage",18,3,4,6,0,2,0,0,0,0,12055,1.7,0,579,21,10,0.0480298631273331,-1
"188",2013,"Bellevue PD","Sarpy",88,6,6,9,0,8,2,0,1,1,53023,1.8,0,1727,94,15,0.0325707711747732,-1
"189",2013,"Blair PD","Washington",15,0,1,2,2,2,2,1,0,0,7978,1.9,0,205,15,3,0.025695663073452,1
"190",2013,"Chadron PD","Dawes",12,2,3,3,0,1,0,0,0,0,5845,2.4,0,309,14,6,0.0528656971770744,0
"191",2013,"Columbus PD","Platte",33,3,2,14,0,0,0,0,0,1,22624,1.6,0,664,36,16,0.0293493635077793,0
"192",2013,"Crete PD","Saline",9,2,4,1,3,2,1,0,0,0,7238,1.6,0,340,11,5,0.0469743022934512,1
"193",2013,"Fremont PD","Dodge",33,2,0,4,1,0,4,0,1,0,26098,1.3,3,1103,35,4,0.0422637750019159,-1
"194",2013,"Gering PD","Scotts Bluff",14,0,0,3,0,0,1,0,0,0,8480,1.6,0,226,14,3,0.0266509433962264,2
"195",2013,"Grand Island PD","Hall",76,8,1,13,0,6,3,0,0,1,50441,1.7,0,3013,84,14,0.059733153585377,3
"196",2013,"Hastings PD","Adams",33,5,1,13,0,4,0,0,0,0,25012,1.5,3,1375,38,14,0.0549736126659204,-2
"197",2013,"Holdrege PD","Phelps",10,0,2,4,0,0,0,0,0,0,5548,1.8,0,220,10,6,0.0396539293439077,0
"198",2013,"Kearney PD","Buffalo",51,2,4,9,0,0,0,0,0,0,32113,1.7,0,1236,53,13,0.0384890854171208,-2
"199",2013,"LaVista PD","Sarpy",31,2,1,4,0,1,1,0,0,0,17790,2,0,339,33,5,0.0190556492411467,2
"200",2013,"Lexington PD","Dawson",17,1,0,2,0,0,1,0,0,0,10204,1.7,0,439,18,2,0.0430223441787534,1
"201",2013,"Lincoln PD","Lancaster",270,51,47,88,0,12,0,0,15,0,267565,1.2,0,14439,321,135,0.0539644572346906,-1
"202",2013,"McCook PD","Red Willow",14,2,1,4,0,2,0,0,0,0,7639,2.1,0,292,16,5,0.0382248985469302,-1
"203",2013,"Nebraska City PD","Otoe",12,1,0,1,0,0,0,0,0,0,7269,1.8,0,309,13,1,0.0425092860090797,0
"204",2013,"Norfolk PD","Madison",38,0,4,16,0,0,0,0,0,0,24362,1.6,0,1063,38,20,0.0436335276249897,0
"205",2013,"North Platte PD","Lincoln",39,1,3,21,0,1,2,0,1,0,24551,1.6,0,1807,40,24,0.0736018899433832,0
"206",2013,"Omaha PD","Douglas",624,143,36,98,37,23,37,0,23,0,425076,1.8,0,25570,767,134,0.0601539489408953,0
"207",2013,"Papillion PD","Sarpy",35,4,1,3,0,1,0,0,0,0,21274,2,0,557,39,4,0.0261821942276958,0
"208",2013,"Plattsmouth PD","Cass",13,1,0,3,0,0,0,0,0,0,6422,2.1,2,203,14,3,0.0316100903145438,0
"209",2013,"Ralston PD","Sarpy",12,1,0,2,0,0,0,0,0,0,7662,2.1,0,310,13,2,0.0404594100756983,0
"210",2013,"Schuyler PD","Colfax",7,1,0,2,0,0,0,0,0,0,6303,1.3,0,0,8,2,0,0
"211",2013,"Scottsbluff PD","Scotts Bluff",26,3,1,4,0,0,3,0,0,0,15057,1.9,0,952,29,5,0.0632264063226406,0
"212",2013,"Seward PD","Seward",10,1,1,1,1,0,0,0,0,0,7063,1.6,0,176,11,2,0.024918589834348,0
"213",2013,"Sidney PD","Cheyenne",14,0,0,2,0,1,0,0,0,0,6831,2.1,0,162,14,2,0.0237154150197628,0
"214",2013,"So Sioux City PD","Dakota",26,1,0,1,0,1,0,0,0,0,13407,2,0,338,27,1,0.0252107108227046,0
"215",2013,"Wayne PD","Wayne",6,0,3,2,1,0,2,0,0,0,5656,1.1,0,0,6,5,0,0
"216",2013,"York PD","York",15,0,1,5,0,0,0,0,0,0,7875,1.9,0,253,15,6,0.0321269841269841,0
"217",2014,"Alliance PD","Box Butte",14,1,0,0,6,1,1,0,1,0,8502,2.5,0,313,15,0,0.0368148670900964,1
"218",2014,"Beatrice PD","Gage",17,3,0,0,10,2,0,0,0,0,12092,2.5,0,607,20,0,0.050198478332782,1
"219",2014,"Bellevue PD","Sarpy",87,6,0,0,16,6,3,0,1,1,54251,2,0,1716,93,0,0.0316307533501687,3
"220",2014,"Blair PD","Washington",15,1,2,0,3,2,1,3,0,0,7986,2.4,0,183,16,2,0.0229151014274981,1
"221",2014,"Chadron PD","Dawes",14,0,0,0,7,0,0,0,0,0,5773,3.6,0,188,14,0,0.0325653906114672,-3
"222",2014,"Columbus PD","Platte",32,4,0,0,14,1,0,0,0,1,22614,2.2,0,525,36,0,0.0232157070841072,0
"223",2014,"Crete PD","Saline",9,3,3,0,5,2,0,0,0,0,7171,2.4,0,352,12,3,0.0490865988007251,0
"224",2014,"Fremont PD","Dodge",33,1,1,0,5,1,5,1,1,0,26322,1.5,3,1018,34,1,0.0386748727300357,1
"225",2014,"Gering PD","Scotts Bluff",16,0,0,0,3,0,0,0,0,0,8469,2.2,0,245,16,0,0.0289290353052308,0
"226",2014,"Grand Island PD","Hall",80,7,0,0,16,7,0,0,0,1,50999,2,0,2929,87,0,0.0574324986764446,0
"227",2014,"Hastings PD","Adams",32,4,0,0,16,2,2,0,0,0,25070,2.1,0,1355,36,0,0.0540486637415237,3
"228",2014,"Holdrege PD","Phelps",10,0,0,0,5,0,0,0,0,0,5536,2.7,0,199,10,0,0.0359465317919075,-1
"229",2014,"Kearney PD","Buffalo",49,2,0,0,13,0,3,0,0,0,32513,2,0,1073,51,0,0.0330021837418879,4
"230",2014,"LaVista PD","Sarpy",32,3,0,0,5,1,0,0,0,0,17955,2.2,0,397,35,0,0.0221108326371484,-3
"231",2014,"Lexington PD","Dawson",19,0,0,0,2,0,0,0,0,0,10195,2.1,0,422,19,0,0.0413928396272683,0
"232",2014,"Lincoln PD","Lancaster",266,54,0,0,140,11,3,0,15,0,271208,1.7,0,13722,320,0,0.0505958526297159,4
"233",2014,"McCook PD","Red Willow",13,2,0,0,5,2,1,0,0,0,7697,2.6,0,333,15,0,0.043263609198389,1
"234",2014,"Nebraska City PD","Otoe",13,1,0,0,1,0,0,0,0,0,7243,2.1,0,397,14,0,0.0548115421786553,0
"235",2014,"Norfolk PD","Madison",37,0,0,0,17,0,3,0,0,0,24588,2.2,0,822,37,0,0.0334309419228892,0
"236",2014,"North Platte PD","Lincoln",39,2,0,0,25,1,0,0,1,0,24490,2.7,0,1701,41,0,0.0694569211923234,0
"237",2014,"Omaha PD","Douglas",646,147,33,8,135,26,11,0,23,0,438465,2.1,0,25706,793,41,0.0586272564514842,0
"238",2014,"Papillion PD","Sarpy",34,4,0,0,4,1,2,0,0,0,22606,1.9,0,464,38,0,0.0205255241971158,0
"239",2014,"Plattsmouth PD","Cass",13,1,0,0,3,0,0,0,0,0,6460,2.6,3,175,14,0,0.0270897832817337,0
"240",2014,"Ralston PD","Sarpy",13,1,0,0,2,0,0,0,0,0,7586,2.1,0,298,14,0,0.0392828895333509,0
"241",2014,"Schuyler PD","Colfax",6,1,0,0,2,0,2,0,0,0,6122,1.5,0,0,7,0,0,0
"242",2014,"Scottsbluff PD","Scotts Bluff",27,3,0,0,5,0,1,0,0,0,15009,2.3,0,815,30,0,0.0543007528816044,0
"243",2014,"Seward PD","Seward",9,1,1,0,2,0,1,0,0,0,7155,1.7,0,125,10,1,0.0174703004891684,0
"244",2014,"Sidney PD","Cheyenne",11,1,0,0,2,0,2,0,0,0,6853,2,0,280,12,0,0.0408580183861083,0
"245",2014,"So Sioux City PD","Dakota",26,1,0,0,1,1,0,0,0,0,13436,2.1,0,594,27,0,0.044209586186365,0
"246",2014,"Wayne PD","Wayne",7,0,1,0,3,1,1,0,0,0,5511,1.8,0,0,7,1,0,0
"247",2014,"York PD","York",15,0,0,0,6,0,0,0,0,0,8012,2.6,0,269,15,0,0.0335746380429356,0
"248",2015,"Alliance PD","Box Butte",14,2,1,5,0,0,0,0,0,0,8502,1.9,0,316,16,6,0.0371677252411197,-2
"249",2015,"Beatrice PD","Gage",17,4,5,8,0,0,1,0,0,0,12092,1.7,0,528,21,13,0.043665233212041,1
"250",2015,"Bellevue PD","Sarpy",88,8,4,10,0,6,1,0,1,0,54251,1.8,0,1736,96,14,0.0319994101491217,-4
"251",2015,"Blair PD","Washington",16,1,0,2,1,1,0,2,0,0,7986,2.1,0,216,17,2,0.0270473328324568,0
"252",2015,"Chadron PD","Dawes",11,0,4,2,0,1,4,0,0,0,5773,1.9,0,227,11,6,0.0393209769617183,4
"253",2015,"Columbus PD","Platte",32,4,3,11,0,1,0,0,0,0,22614,1.6,0,502,36,14,0.0221986380118511,-3
"254",2015,"Crete PD","Saline",9,3,0,0,3,1,0,0,0,0,7171,1.7,0,292,12,0,0.0407195649142379,0
"255",2015,"Fremont PD","Dodge",33,2,0,5,2,1,3,0,0,0,26322,1.3,3,1024,35,5,0.0389028189347314,2
"256",2015,"Gering PD","Scotts Bluff",16,0,0,3,0,0,0,0,0,0,8469,1.9,0,158,16,3,0.0186562758294958,0
"257",2015,"Grand Island PD","Hall",80,7,3,14,0,5,0,0,0,1,50999,1.7,0,2213,87,17,0.0433930077060335,-2
"258",2015,"Hastings PD","Adams",34,5,1,16,0,2,0,0,0,0,25070,1.6,0,1213,39,17,0.0483845233346629,0
"259",2015,"Holdrege PD","Phelps",9,0,1,5,0,0,1,0,0,0,5536,1.6,0,187,9,6,0.033778901734104,1
"260",2015,"Kearney PD","Buffalo",52,3,6,8,0,0,0,0,0,0,32513,1.7,0,1200,55,14,0.0369083135976379,1
"261",2015,"LaVista PD","Sarpy",30,2,1,4,0,1,2,0,0,0,17955,1.8,0,318,32,5,0.0177109440267335,2
"262",2015,"Lexington PD","Dawson",19,0,0,2,0,0,1,0,0,0,10195,1.9,0,396,19,2,0.0388425698871996,2
"263",2015,"Lincoln PD","Lancaster",273,51,59,99,0,5,0,0,0,0,271208,1.2,0,13799,324,158,0.0508797675584791,3
"264",2015,"McCook PD","Red Willow",15,1,1,4,0,1,0,0,0,1,7697,2.1,0,286,16,5,0.037157334026244,0
"265",2015,"Nebraska City PD","Otoe",13,1,0,1,0,0,0,0,0,0,7243,1.9,0,263,14,1,0.0363109208891343,0
"266",2015,"Norfolk PD","Madison",39,1,3,14,0,0,0,0,0,0,24588,1.6,0,762,40,17,0.0309907271839922,0
"267",2015,"North Platte PD","Lincoln",37,2,3,21,0,2,2,0,1,0,24490,1.6,0,1469,39,24,0.0599836668027766,0
"268",2015,"Omaha PD","Douglas",675,151,40,97,42,25,7,0,18,0,438465,1.9,0,23942,826,137,0.0546041303182694,0
"269",2015,"Papillion PD","Sarpy",35,5,1,3,0,1,2,0,0,0,22606,1.8,0,541,40,4,0.0239316995487924,0
"270",2015,"Plattsmouth PD","Cass",13,1,0,3,0,0,0,0,0,0,6460,2.2,3,220,14,3,0.0340557275541796,0
"271",2015,"Ralston PD","Sarpy",13,1,0,2,0,0,0,0,0,0,7586,1.8,0,246,14,2,0.0324281571315581,0
"272",2015,"Schuyler PD","Colfax",5,0,0,2,0,0,3,0,0,0,6122,0.8,0,0,5,2,0,0
"273",2015,"Scottsbluff PD","Scotts Bluff",27,3,1,4,0,0,1,0,0,0,15009,2,0,814,30,5,0.0542341261909521,0
"274",2015,"Seward PD","Seward",11,1,0,1,2,0,0,0,0,0,7155,1.7,0,92,12,1,0.012858141160028,0
"275",2015,"Sidney PD","Cheyenne",12,2,0,2,0,0,0,0,0,0,6853,2,0,250,14,2,0.0364803735590252,0
"276",2015,"So Sioux City PD","Dakota",26,1,0,1,0,1,0,0,0,0,13436,2,0,540,27,1,0.0401905328966954,0
"277",2015,"Wayne PD","Wayne",7,0,2,1,1,1,1,0,2,0,5511,1.3,0,0,7,3,0,0
"278",2015,"York PD","York",15,0,1,5,0,0,0,0,0,0,8012,1.9,0,197,15,6,0.0245881178232651,0
"279",2016,"Alliance PD","Box Butte",12,2,0,7,0,1,2,0,1,0,8529,1.6,0,235,14,7,0.0275530542853793,0
"280",2016,"Beatrice PD","Gage",18,4,6,7,0,2,0,0,0,0,11965,1.8,0,492,22,13,0.0411199331383201,0
"281",2016,"Bellevue PD","Sarpy",84,8,5,11,0,4,5,0,0,0,54595,1.7,0,1782,92,16,0.0326403516805568,0
"282",2016,"Blair PD","Washington",16,1,0,2,1,1,0,0,0,0,7981,2.1,0,192,17,2,0.024057135697281,0
"283",2016,"Chadron PD","Dawes",14,1,4,2,0,1,0,0,0,1,5748,2.6,0,190,15,6,0.0330549756437022,0
"284",2016,"Columbus PD","Platte",28,5,3,13,0,1,3,0,0,0,22735,1.5,0,645,33,16,0.0283703540796129,0
"285",2016,"Crete PD","Saline",9,3,0,1,3,2,0,0,0,0,7045,1.7,0,250,12,1,0.035486160397445,0
"286",2016,"Fremont PD","Dodge",34,3,0,5,2,1,2,0,0,0,26521,1.4,2,1026,37,5,0.0386863240450963,0
"287",2016,"Gering PD","Scotts Bluff",15,1,0,2,0,0,2,0,0,0,8335,1.9,0,197,16,2,0.0236352729454109,0
"288",2016,"Grand Island PD","Hall",78,7,3,14,0,4,2,0,0,0,51861,1.6,0,2522,85,17,0.0486299917086057,0
"289",2016,"Hastings PD","Adams",33,6,1,13,0,4,0,0,0,0,24849,1.6,0,1360,39,14,0.0547305726588595,0
"290",2016,"Holdrege PD","Phelps",9,1,1,5,0,0,0,0,0,0,5512,1.8,0,206,10,6,0.0373730043541364,0
"291",2016,"Kearney PD","Buffalo",53,3,13,0,0,0,0,0,0,0,32885,1.7,0,1183,56,13,0.0359738482590847,0
"292",2016,"LaVista PD","Sarpy",31,3,1,4,0,1,1,0,0,0,18049,1.9,0,367,34,5,0.0203335364840157,0
"293",2016,"Lexington PD","Dawson",21,0,0,2,0,0,0,0,0,0,10122,2.1,0,340,21,2,0.0335901995653033,0
"294",2016,"Lincoln PD","Lancaster",278,49,50,88,0,10,1,0,0,0,276585,1.2,0,13255,327,138,0.0479237847316377,0
"295",2016,"Madison PD","Madison",3,0,1,0,2,0,0,0,3,0,8389,0.4,0,31,3,1,0.00369531529383717,0
"296",2016,"Norfolk PD","Madison",39,1,3,14,0,0,0,0,0,0,24490,1.6,0,589,40,17,0.0240506329113924,0
"297",2016,"North Platte PD","Lincoln",38,2,22,3,0,2,1,0,0,0,24231,1.7,0,1346,40,25,0.0555486773141843,0
"298",2016,"Omaha PD","Douglas",700,148,42,98,37,24,3,0,24,0,452252,1.9,0,26133,848,140,0.0577841557361825,0
"299",2016,"Plattsmouth PD","Cass",13,1,0,3,0,0,0,0,0,0,6484,2.2,2,174,14,3,0.026835286859963,0
"300",2016,"Ralston PD","Sarpy",13,1,0,2,0,1,0,0,0,0,7581,1.8,0,305,14,2,0.0402321593457328,0
"301",2016,"Schuyler PD","Colfax",8,0,0,2,1,0,0,0,0,0,6155,1.3,0,0,8,2,0,0
"302",2016,"Scottsbluff PD","Scotts Bluff",27,3,4,1,0,0,1,0,0,0,14825,2,0,912,30,5,0.0615177065767285,0
"303",2016,"Sidney PD","Cheyenne",12,2,0,2,0,0,0,0,0,0,6960,2,0,202,14,2,0.0290229885057471,0
"304",2016,"Wayne PD","Wayne",7,0,2,2,0,0,1,1,1,0,5554,1.3,0,0,7,4,0,0
"305",2016,"York PD","York",16,0,1,5,0,0,0,0,0,0,8008,2,0,250,16,6,0.0312187812187812,0
