year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so,total_crime
2007,Alliance PD,Box Butte,15,2,0,7,0,0,2,,1,,8054,2.1,,361
2007,Beatrice PD,Gage,16,5,3,8,0,3,1,,,,12972,1.6,,768
2007,Bellevue PD,Sarpy,80,6,7,9,0,8,1,,1,,48067,1.8,,2354
2007,Blair PD,Washington,15,0,0,2,2,0,,,,,7962,1.9,,217
2007,Chadron PD,Dawes,10,2,2,3,0,4,2,,,,5158,2.3,,195
2007,Columbus PD,Platte,30,3,2,11,0,0,2,,,,21420,1.5,,818
2007,Crete PD,Saline,9,2,1,6,2,0,,,,,6345,1.7,,296
2007,Fremont PD,Dodge,35,3,1,8,3,5,,,,,25423,1.5,3,1103
2007,Gering PD,Scotts Bluff,14,1,0,3,0,3,,,,,7677,2,,309
2007,Grand Island PD,Hall,70,5,0,10,0,8,,,,,44812,1.7,,2919
2007,Hastings PD,Adams,34,4,1,13,0,2,1,,,,25250,1.5,3,1302
2007,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,5281,1.9,,236
2007,Kearney PD,Buffalo,45,2,5,7,0,1,5,,3,,29652,1.6,,1479
2007,LaVista PD,Sarpy,28,3,0,4,0,1,,,,,16816,1.8,,512
2007,Lexington PD,Dawson,14,1,0,2,0,0,,,,,10262,1.5,,607
2007,Lincoln PD,Lancaster,262,46,21,74,0,5,9,,,,243243,1.3,,16625
2007,McCook PD,Red Willow,15,0,0,4,0,2,,,,,7491,2,,437
2007,Nebraska City PD,Otoe,9,3,0,1,1,0,1,,,,7106,1.7,,353
2007,Norfolk PD,Madison,35,1,3,17,0,1,4,,,,23977,1.5,,947
2007,North Platte PD,Lincoln,42,0,5,20,0,1,,,,,24436,1.7,,2221
2007,Omaha PD,Douglas,607,148,44,121,30,24,67,,31,,431810,1.7,,27778
2007,Papillion PD,Sarpy,27,6,1,3,0,1,3,,,,21748,1.5,,588
2007,Plattsmouth PD,Cass,15,0,0,0,0,0,1,,,,7070,2.1,5,294
2007,Ralston PD,Sarpy,13,0,0,2,0,0,,,,,6144,2.1,,232
2007,Schuyler PD,Colfax,6,0,0,2,0,0,2,,,,5194,1.2,,161
2007,Scottsbluff PD,Scotts Bluff,30,2,1,4,0,0,,,,,14719,2.2,,1206
2007,Seward PD,Seward,9,0,1,1,0,0,2,,,,6922,1.3,,116
2007,Sidney PD,Cheyenne,12,0,0,2,0,1,2,,,1,6386,1.9,,277
2007,So Sioux City PD,Dakota,26,1,0,1,0,2,2,,,,12139,2.2,,313
2007,Wayne PD,Wayne,8,1,1,4,1,0,,,,,5136,1.8,,173
2007,York PD,York,14,0,1,5,0,0,,,,,7921,1.8,,303
2008,Alliance PD,Box Butte,16,1,0,5,0,1,2,,2,,7963,2.1,,323
2008,Beatrice PD,Gage,17,5,3,7,0,0,,,,,12913,1.7,,796
2008,Bellevue PD,Sarpy,85,6,7,12,0,7,,,2,2,48894,1.9,,2484
2008,Blair PD,Washington,17,0,1,2,2,2,,,,,7914,2.1,,212
2008,Chadron PD,Dawes,12,1,1,5,0,2,,,,,5473,2.4,,313
2008,Columbus PD,Platte,30,3,3,13,0,0,2,,,,21438,1.5,,819
2008,Crete PD,Saline,9,2,2,5,1,1,1,,,,6292,1.7,3,349
2008,Fremont PD,Dodge,37,3,1,8,4,3,,,,,25362,1.6,4,1354
2008,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,7633,2,,264
2008,Grand Island PD,Hall,70,5,1,10,0,8,,,,,45022,1.7,,3082
2008,Hastings PD,Adams,31,5,1,13,0,2,3,,,,25428,1.4,3,1530
2008,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,5116,2,,190
2008,Kearney PD,Buffalo,48,3,5,10,0,1,1,,,,31086,1.6,,1319
2008,LaVista PD,Sarpy,28,3,0,4,0,1,2,,,,17103,1.8,,469
2008,Lexington PD,Dawson,15,1,0,2,0,0,,,,,10172,1.6,,648
2008,Lincoln PD,Lancaster,265,49,25,75,0,7,3,,,,251550,1.2,,14980
2008,McCook PD,Red Willow,16,0,0,4,1,2,,,,,7401,2.2,,368
2008,Nebraska City PD,Otoe,12,3,0,1,0,0,,,,,7049,2.1,,316
2008,Norfolk PD,Madison,34,3,1,15,0,0,3,,1,,23096,1.6,,1029
2008,North Platte PD,Lincoln,42,0,5,20,0,1,,,,,24098,1.7,,301
2008,Omaha PD,Douglas,601,147,35,110,43,21,78,,51,,437238,1.7,,26023
2008,Papillion PD,Sarpy,32,6,1,3,0,1,,,,,22833,1.7,,627
2008,Plattsmouth PD,Cass,15,0,0,2,0,0,,,,,6932,2.2,5,313
2008,Ralston PD,Sarpy,13,0,0,2,0,0,,,,,6087,2.1,,266
2008,Schuyler PD,Colfax,6,1,0,2,0,0,1,,,,5111,1.4,,0
2008,Scottsbluff PD,Scotts Bluff,28,1,1,4,0,8,3,,,,14667,2,,1189
2008,Seward PD,Seward,11,0,1,1,0,0,,,,,6759,1.6,,161
2008,Sidney PD,Cheyenne,14,0,0,2,0,1,,,,,6492,2.2,,184
2008,So Sioux City PD,Dakota,27,1,0,1,0,1,,,,,12005,2.3,,359
2008,Wayne PD,Wayne,8,1,1,4,1,1,,,,,5257,1.7,,140
2008,York PD,York,14,0,1,5,0,0,,,,,7884,1.8,,270
2009,Alliance PD,Box Butte,15,2,0,7,0,2,1,,,,8024,2.1,,315
2009,Beatrice PD,Gage,17,5,3,7,0,2,,,,,12793,1.7,,717
2009,Bellevue PD,Sarpy,93,5,5,12,0,7,7,,3,2,50311,1.9,,2302
2009,Blair PD,Washington,17,0,0,2,2,0,,,,,7820,2.2,,223
2009,Chadron PD,Dawes,12,2,1,4,0,5,,,,,5409,2.6,,238
2009,Columbus PD,Platte,33,3,2,13,0,0,1,,1,,21652,1.7,,626
2009,Crete PD,Saline,9,2,1,5,0,1,,,,,6258,1.8,3,287
2009,Fremont PD,Dodge,39,2,1,9,4,7,,,,,25220,1.6,4,1286
2009,Gering PD,Scotts Bluff,14,1,0,3,0,2,,,,1,7672,2,,264
2009,Grand Island PD,Hall,70,5,1,10,0,10,,,,,46083,1.6,,3170
2009,Hastings PD,Adams,31,5,1,13,0,2,3,,,,25476,1.4,2,1344
2009,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,5122,2,,188
2009,Kearney PD,Buffalo,49,3,5,8,0,1,,,,,30759,1.7,,1502
2009,LaVista PD,Sarpy,30,3,0,4,0,1,,,,,17293,1.9,,508
2009,Lexington PD,Dawson,12,1,0,2,0,0,3,,,,10138,1.3,,599
2009,Lincoln PD,Lancaster,270,49,28,67,0,12,2,,4,,254438,1.3,,14746
2009,McCook PD,Red Willow,16,0,0,4,0,2,,,,,7377,2.2,,322
2009,Nebraska City PD,Otoe,12,2,0,1,0,0,,,,,7011,2,,321
2009,Norfolk PD,Madison,36,2,3,15,0,0,,,2,,22892,1.7,,1049
2009,North Platte PD,Lincoln,42,0,5,20,0,1,,,,,24127,1.7,,1569
2009,Omaha PD,Douglas,624,145,35,109,42,24,71,,35,,443037,1.7,,25017
2009,Papillion PD,Sarpy,33,6,1,3,0,1,,,,,24390,1.6,,641
2009,Plattsmouth PD,Cass,15,0,0,2,0,0,1,,,,6902,2.2,4,48
2009,Ralston PD,Sarpy,11,0,0,2,0,0,2,,,,6077,1.8,,213
2009,Schuyler PD,Colfax,6,2,0,2,0,0,1,,,,5136,1.6,,0
2009,Scottsbluff PD,Scotts Bluff,28,2,1,4,0,0,2,,,,14773,2,,1049
2009,Seward PD,Seward,9,0,1,1,4,0,2,,,,6883,1.3,,154
2009,Sidney PD,Cheyenne,13,0,0,2,0,1,1,,,,6514,2,,127
2009,Wayne PD,Wayne,8,1,3,3,1,1,,,,,5268,1.7,,121
2009,York PD,York,14,0,1,5,0,0,,,,,7847,1.8,,253
2010,Alliance PD,Box Butte,16,1,0,7,0,2,1,,,,8491,2,,296
2010,Beatrice PD,Gage,17,4,4,6,0,1,,,,,12459,1.7,,712
2010,Bellevue PD,Sarpy,94,7,5,13,0,7,4,,1,1,50137,2,,2267
2010,Blair PD,Washington,17,0,0,2,2,0,,,,,7990,2.1,,219
2010,Chadron PD,Dawes,13,1,3,3,0,5,,,,,5851,2.4,,271
2010,Columbus PD,Platte,30,3,2,13,0,0,2,,1,,22111,1.5,,683
2010,Crete PD,Saline,8,2,1,5,2,1,1,,,,6960,1.4,2,254
2010,Fremont PD,Dodge,37,2,1,9,5,6,2,,,,26397,1.5,5,1273
2010,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,8500,1.8,,255
2010,Grand Island PD,Hall,66,6,1,9,0,7,5,,,,48520,1.5,,3015
2010,Hastings PD,Adams,32,4,0,12,0,4,2,,,,24907,1.4,2,1235
2010,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,5495,1.8,,213
2010,Kearney PD,Buffalo,48,4,5,9,0,0,1,,,,30787,1.7,,1348
2010,LaVista PD,Sarpy,30,3,0,3,0,1,,,1,,15758,2.1,,406
2010,Lexington PD,Dawson,15,1,0,2,0,0,1,,,,10230,1.6,,534
2010,Lincoln PD,Lancaster,278,47,18,67,0,9,,,1,,258379,1.3,,15314
2010,McCook PD,Red Willow,16,0,0,4,1,1,,,1,2,7698,2.1,,295
2010,Nebraska City PD,Otoe,14,1,0,1,0,0,,,,,7289,2.1,,260
2010,Norfolk PD,Madison,37,2,2,13,0,1,,,,,24210,1.6,,1070
2010,North Platte PD,Lincoln,41,0,5,20,0,1,1,,,,24733,1.7,,2198
2010,Omaha PD,Douglas,641,148,34,95,37,27,31,,49,,408958,1.9,,23719
2010,Papillion PD,Sarpy,34,5,1,3,0,1,,,,,18894,2.1,,536
2010,Plattsmouth PD,Cass,14,0,0,3,0,0,2,,,3,6502,2.2,3,243
2010,Ralston PD,Sarpy,11,2,0,2,0,0,,,,,5943,2.2,,203
2010,Schuyler PD,Colfax,6,2,0,2,0,0,,,,,6211,1.3,,0
2010,Scottsbluff PD,Scotts Bluff,29,2,1,4,0,0,1,,,,15039,2.1,,1148
2010,Seward PD,Seward,8,1,1,1,3,0,2,,,,6964,1.3,,123
2010,So Sioux City PD,Dakota,26,1,0,1,0,2,1,,,,13353,2,,406
2010,Sidney PD,Cheyenne,12,0,0,2,0,1,2,,,,6757,1.8,,147
2010,Wayne PD,Wayne,8,1,2,3,1,1,,,,,5660,1.6,,145
2010,York PD,York,13,0,1,5,0,0,1,,,,7766,1.7,,255
2011,Alliance PD,Box Butte,16,2,0,7,0,2,,,,,8567,2.1,,318
2011,Beatrice PD,Gage,17,4,3,7,0,3,,,,,12570,1.7,,677
2011,Bellevue PD,Sarpy,90,8,3,12,0,9,,,2,,50584,1.9,,2034
2011,Blair PD,Washington,17,0,1,2,2,2,,,,,8061,2.1,,175
2011,Chadron PD,Dawes,13,1,3,3,0,2,,,,,5903,2.4,,215
2011,Columbus PD,Platte,33,3,2,13,0,0,,,2,,22308,1.6,,689
2011,Crete PD,Saline,9,2,2,5,0,1,,,,,7022,1.6,3,287
2011,Fremont PD,Dodge,35,2,1,9,4,4,3,,,,26633,1.4,4,1142
2011,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,8576,1.7,,205
2011,Grand Island PD,Hall,71,6,1,10,0,5,,,,2,48953,1.6,,3149
2011,Hastings PD,Adams,30,5,0,11,0,5,3,,1,,25129,1.4,3,1341
2011,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,5544,1.8,,183
2011,Kearney PD,Buffalo,52,3,5,9,0,0,,,,,31062,1.8,,1262
2011,LaVista PD,Sarpy,32,2,1,4,0,1,,,,,15899,2.1,,450
2011,Lexington PD,Dawson,15,1,0,2,0,0,2,,,,10321,1.6,,508
2011,Lincoln PD,Lancaster,280,47,29,65,0,9,,,2,,260685,1.3,,15091
2011,McCook PD,Red Willow,16,0,1,4,1,4,,,,,7767,2.1,,305
2011,Nebraska City PD,Otoe,13,1,0,1,0,0,,,,,7354,1.9,,266
2011,Norfolk PD,Madison,37,1,4,16,0,0,,,,,24426,1.6,,972
2011,North Platte PD,Lincoln,39,0,4,19,0,1,3,,2,,24954,1.6,,1875
2011,Omaha PD,Douglas,632,146,36,110,36,28,11,,29,,412608,1.9,,25255
2011,Papillion PD,Sarpy,33,5,1,3,0,1,1,,,,19063,2,,505
2011,Plattsmouth PD,Cass,14,0,0,3,0,0,,,,,6560,2.1,3,274
2011,Ralston PD,Sarpy,11,2,0,2,0,0,,,,,5996,2.2,,229
2011,Schuyler PD,Colfax,7,1,0,2,0,0,,,,,6266,1.3,,0
2011,Scottsbluff PD,Scotts Bluff,29,2,1,4,0,0,,,,,15173,2,,1008
2011,Seward PD,Seward,10,1,1,1,0,0,,,,,7026,1.6,2,144
2011,Sidney PD,Cheyenne,14,0,0,2,0,1,,,,,6817,2.1,,114
2011,So Sioux City PD,Dakota,26,1,0,1,0,2,,,,,13472,2,,491
2011,Wayne PD,Wayne,5,1,2,2,0,0,3,1,1,1,5711,1.1,,0
2011,York PD,York,13,0,1,5,0,0,1,,,,7835,1.7,,259
2012,Alliance PD,Box Butte,15,2,0,8,0,0,1,,,,8608,2,,0
2012,Beatrice PD,Gage,18,4,4,6,0,0,,,,,12388,1.8,,641
2012,Bellevue PD,Sarpy,86,8,5,9,0,8,2,,2,1,51678,1.8,,1893
2012,Blair PD,Washington,15,0,1,2,2,2,2,,,,8069,1.9,,197
2012,Chadron PD,Dawes,11,2,4,2,0,1,1,,,1,5901,2.2,,248
2012,Columbus PD,Platte,32,3,2,14,0,0,1,,1,,22537,1.6,,624
2012,Crete PD,Saline,9,2,2,4,0,1,,,,,7077,1.6,3,325
2012,Fremont PD,Dodge,35,2,1,9,0,6,2,,,,26641,1.4,4,1067
2012,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,8578,1.7,,192
2012,Grand Island PD,Hall,70,6,1,9,0,7,6,5,4,,49583,1.5,,3059
2012,Hastings PD,Adams,32,5,0,11,0,6,2,,1,,24961,1.5,3,1431
2012,Holdrege PD,Phelps,9,0,1,5,0,0,1,,,,5531,1.6,,186
2012,Kearney PD,Buffalo,51,2,4,8,0,0,1,,1,,31392,1.7,,1270
2012,LaVista PD,Sarpy,32,2,2,3,0,1,,,,,16242,2.1,,389
2012,Lexington PD,Dawson,17,1,0,2,0,0,,,,,10329,1.7,,459
2012,Lincoln PD,Lancaster,273,47,28,66,0,10,,,,,264175,1.2,,15469
2012,McCook PD,Red Willow,14,1,1,4,1,2,1,,,1,7735,1.9,,341
2012,Nebraska City PD,Otoe,13,1,0,1,0,0,2,,,,7366,1.9,,309
2012,Norfolk PD,Madison,36,1,3,14,0,0,1,,,,24418,1.5,,1066
2012,North Platte PD,Lincoln,40,1,4,21,0,1,1,,,,24806,1.7,,1883
2012,Omaha PD,Douglas,646,149,38,110,36,25,4,,25,,417970,1.9,,25663
2012,Papillion PD,Sarpy,34,5,1,3,0,1,,,,,19466,2,,629
2012,Plattsmouth PD,Cass,13,1,0,3,0,0,,,,,6534,2.1,2,274
2012,Ralston PD,Sarpy,11,2,0,2,0,0,,,,,6077,2.1,,304
2012,Schuyler PD,Colfax,7,1,0,2,0,0,,,,,6313,1.3,,0
2012,Scottsbluff PD,Scotts Bluff,26,2,1,4,0,0,4,,,,15174,1.8,,779
2012,Seward PD,Seward,10,1,1,1,1,0,,,,,6995,1.6,,158
2012,Sidney PD,Cheyenne,14,0,0,2,0,1,,,,,6789,2.1,,183
2012,So Sioux City PD,Dakota,26,1,0,1,0,2,,,,,13386,2,,483
2012,Wayne PD,Wayne,7,0,4,1,1,0,2,,,,5652,1.2,,0
2012,York PD,York,13,0,1,5,0,0,1,,,,7857,1.7,,261
2013,Alliance PD,Box Butte,15,1,0,6,0,0,0,0,1,0,8510,1.9,0,281
2013,Beatrice PD,Gage,18,3,4,6,0,2,0,0,0,0,12055,1.7,0,579
2013,Bellevue PD,Sarpy,88,6,6,9,0,8,2,0,1,1,53023,1.8,0,1727
2013,Blair PD,Washington,15,0,1,2,2,2,2,1,0,0,7978,1.9,0,205
2013,Chadron PD,Dawes,12,2,3,3,0,1,0,0,0,0,5845,2.4,0,309
2013,Columbus PD,Platte,33,3,2,14,0,0,0,0,0,1,22624,1.6,0,664
2013,Crete PD,Saline,9,2,4,1,3,2,1,0,0,0,7238,1.6,0,340
2013,Fremont PD,Dodge,33,2,0,4,1,0,4,0,1,0,26098,1.3,3,1103
2013,Gering PD,Scotts Bluff,14,0,0,3,0,0,1,0,0,0,8480,1.6,0,226
2013,Grand Island PD,Hall,76,8,1,13,0,6,3,0,0,1,50441,1.7,0,3013
2013,Hastings PD,Adams,33,5,1,13,0,4,0,0,0,0,25012,1.5,3,1375
2013,Holdrege PD,Phelps,10,0,2,4,0,0,0,0,0,0,5548,1.8,0,220
2013,Kearney PD,Buffalo,51,2,4,9,0,0,0,0,0,0,32113,1.7,0,1236
2013,LaVista PD,Sarpy,31,2,1,4,0,1,1,0,0,0,17790,2,0,339
2013,Lexington PD,Dawson,17,1,0,2,0,0,1,0,0,0,10204,1.7,0,439
2013,Lincoln PD,Lancaster,270,51,47,88,0,12,0,0,15,0,267565,1.2,0,14439
2013,McCook PD,Red Willow,14,2,1,4,0,2,0,0,0,0,7639,2.1,0,292
2013,Nebraska City PD,Otoe,12,1,0,1,0,0,0,0,0,0,7269,1.8,0,309
2013,Norfolk PD,Madison,38,0,4,16,0,0,0,0,0,0,24362,1.6,0,1063
2013,North Platte PD,Lincoln,39,1,3,21,0,1,2,0,1,0,24551,1.6,0,1807
2013,Omaha PD,Douglas,624,143,36,98,37,23,37,0,23,0,425076,1.8,0,25570
2013,Papillion PD,Sarpy,35,4,1,3,0,1,0,0,0,0,21274,2,0,557
2013,Plattsmouth PD,Cass,13,1,0,3,0,0,0,0,0,0,6422,2.1,2,203
2013,Ralston PD,Sarpy,12,1,0,2,0,0,0,0,0,0,7662,2.1,0,310
2013,Schuyler PD,Colfax,7,1,0,2,0,0,0,0,0,0,6303,1.3,0,0
2013,Scottsbluff PD,Scotts Bluff,26,3,1,4,0,0,3,0,0,0,15057,1.9,0,952
2013,Seward PD,Seward,10,1,1,1,1,0,0,0,0,0,7063,1.6,0,176
2013,Sidney PD,Cheyenne,14,0,0,2,0,1,0,0,0,0,6831,2.1,0,162
2013,So Sioux City PD,Dakota,26,1,0,1,0,1,0,0,0,0,13407,2,0,338
2013,Wayne PD,Wayne,6,0,3,2,1,0,2,0,0,0,5656,1.1,0,0
2013,York PD,York,15,0,1,5,0,0,0,0,0,0,7875,1.9,0,253
2014,Alliance PD,Box Butte,14,1,0,0,6,1,1,0,1,0,8502,2.5,0,313
2014,Beatrice PD,Gage,17,3,0,0,10,2,0,0,0,0,12092,2.5,0,607
2014,Bellevue PD,Sarpy,87,6,0,0,16,6,3,0,1,1,54251,2,0,1716
2014,Blair PD,Washington,15,1,2,0,3,2,1,3,0,0,7986,2.4,0,183
2014,Chadron PD,Dawes,14,0,0,0,7,0,0,0,0,0,5773,3.6,0,188
2014,Columbus PD,Platte,32,4,0,0,14,1,0,0,0,1,22614,2.2,0,525
2014,Crete PD,Saline,9,3,3,0,5,2,0,0,0,0,7171,2.4,0,352
2014,Fremont PD,Dodge,33,1,1,0,5,1,5,1,1,0,26322,1.5,3,1018
2014,Gering PD,Scotts Bluff,16,0,0,0,3,0,0,0,0,0,8469,2.2,0,245
2014,Grand Island PD,Hall,80,7,0,0,16,7,0,0,0,1,50999,2,0,2929
2014,Hastings PD,Adams,32,4,0,0,16,2,2,0,0,0,25070,2.1,0,1355
2014,Holdrege PD,Phelps,10,0,0,0,5,0,0,0,0,0,5536,2.7,0,199
2014,Kearney PD,Buffalo,49,2,0,0,13,0,3,0,0,0,32513,2,0,1073
2014,LaVista PD,Sarpy,32,3,0,0,5,1,0,0,0,0,17955,2.2,0,397
2014,Lexington PD,Dawson,19,0,0,0,2,0,0,0,0,0,10195,2.1,0,422
2014,Lincoln PD,Lancaster,266,54,0,0,140,11,3,0,15,0,271208,1.7,0,13722
2014,McCook PD,Red Willow,13,2,0,0,5,2,1,0,0,0,7697,2.6,0,333
2014,Nebraska City PD,Otoe,13,1,0,0,1,0,0,0,0,0,7243,2.1,0,397
2014,Norfolk PD,Madison,37,0,0,0,17,0,3,0,0,0,24588,2.2,0,822
2014,North Platte PD,Lincoln,39,2,0,0,25,1,0,0,1,0,24490,2.7,0,1701
2014,Omaha PD,Douglas,646,147,33,8,135,26,11,0,23,0,438465,2.1,0,25706
2014,Papillion PD,Sarpy,34,4,0,0,4,1,2,0,0,0,22606,1.9,0,464
2014,Plattsmouth PD,Cass,13,1,0,0,3,0,0,0,0,0,6460,2.6,3,175
2014,Ralston PD,Sarpy,13,1,0,0,2,0,0,0,0,0,7586,2.1,0,298
2014,Schuyler PD,Colfax,6,1,0,0,2,0,2,0,0,0,6122,1.5,0,0
2014,Scottsbluff PD,Scotts Bluff,27,3,0,0,5,0,1,0,0,0,15009,2.3,0,815
2014,Seward PD,Seward,9,1,1,0,2,0,1,0,0,0,7155,1.7,0,125
2014,Sidney PD,Cheyenne,11,1,0,0,2,0,2,0,0,0,6853,2,0,280
2014,So Sioux City PD,Dakota,26,1,0,0,1,1,0,0,0,0,13436,2.1,0,594
2014,Wayne PD,Wayne,7,0,1,0,3,1,1,0,0,0,5511,1.8,0,0
2014,York PD,York,15,0,0,0,6,0,0,0,0,0,8012,2.6,0,269
2015,Alliance PD,Box Butte,14,2,1,5,0,0,0,0,0,0,8502,1.9,0,316
2015,Beatrice PD,Gage,17,4,5,8,0,0,1,0,0,0,12092,1.7,0,528
2015,Bellevue PD,Sarpy,88,8,4,10,0,6,1,0,1,0,54251,1.8,0,1736
2015,Blair PD,Washington,16,1,0,2,1,1,0,2,0,0,7986,2.1,0,216
2015,Chadron PD,Dawes,11,0,4,2,0,1,4,0,0,0,5773,1.9,0,227
2015,Columbus PD,Platte,32,4,3,11,0,1,0,0,0,0,22614,1.6,0,502
2015,Crete PD,Saline,9,3,0,0,3,1,0,0,0,0,7171,1.7,0,292
2015,Fremont PD,Dodge,33,2,0,5,2,1,3,0,0,0,26322,1.3,3,1024
2015,Gering PD,Scotts Bluff,16,0,0,3,0,0,0,0,0,0,8469,1.9,0,158
2015,Grand Island PD,Hall,80,7,3,14,0,5,0,0,0,1,50999,1.7,0,2213
2015,Hastings PD,Adams,34,5,1,16,0,2,0,0,0,0,25070,1.6,0,1213
2015,Holdrege PD,Phelps,9,0,1,5,0,0,1,0,0,0,5536,1.6,0,187
2015,Kearney PD,Buffalo,52,3,6,8,0,0,0,0,0,0,32513,1.7,0,1200
2015,LaVista PD,Sarpy,30,2,1,4,0,1,2,0,0,0,17955,1.8,0,318
2015,Lexington PD,Dawson,19,0,0,2,0,0,1,0,0,0,10195,1.9,0,396
2015,Lincoln PD,Lancaster,273,51,59,99,0,5,0,0,0,0,271208,1.2,0,13799
2015,McCook PD,Red Willow,15,1,1,4,0,1,0,0,0,1,7697,2.1,0,286
2015,Nebraska City PD,Otoe,13,1,0,1,0,0,0,0,0,0,7243,1.9,0,263
2015,Norfolk PD,Madison,39,1,3,14,0,0,0,0,0,0,24588,1.6,0,762
2015,North Platte PD,Lincoln,37,2,3,21,0,2,2,0,1,0,24490,1.6,0,1469
2015,Omaha PD,Douglas,675,151,40,97,42,25,7,0,18,0,438465,1.9,0,23942
2015,Papillion PD,Sarpy,35,5,1,3,0,1,2,0,0,0,22606,1.8,0,541
2015,Plattsmouth PD,Cass,13,1,0,3,0,0,0,0,0,0,6460,2.2,3,220
2015,Ralston PD,Sarpy,13,1,0,2,0,0,0,0,0,0,7586,1.8,0,246
2015,Schuyler PD,Colfax,5,0,0,2,0,0,3,0,0,0,6122,0.8,0,0
2015,Scottsbluff PD,Scotts Bluff,27,3,1,4,0,0,1,0,0,0,15009,2,0,814
2015,Seward PD,Seward,11,1,0,1,2,0,0,0,0,0,7155,1.7,0,92
2015,Sidney PD,Cheyenne,12,2,0,2,0,0,0,0,0,0,6853,2,0,250
2015,So Sioux City PD,Dakota,26,1,0,1,0,1,0,0,0,0,13436,2,0,540
2015,Wayne PD,Wayne,7,0,2,1,1,1,1,0,2,0,5511,1.3,0,0
2015,York PD,York,15,0,1,5,0,0,0,0,0,0,8012,1.9,0,197
2016,Alliance PD,Box Butte,12,2,0,7,0,1,2,0,1,0,8529,1.6,0,235
2016,Beatrice PD,Gage,18,4,6,7,0,2,0,0,0,0,11965,1.8,0,492
2016,Bellevue PD,Sarpy,84,8,5,11,0,4,5,0,0,0,54595,1.7,0,1782
2016,Blair PD,Washington,16,1,0,2,1,1,0,0,0,0,7981,2.1,0,192
2016,Chadron PD,Dawes,14,1,4,2,0,1,0,0,0,1,5748,2.6,0,190
2016,Columbus PD,Platte,28,5,3,13,0,1,3,0,0,0,22735,1.5,0,645
2016,Crete PD,Saline,9,3,0,1,3,2,0,0,0,0,7045,1.7,0,250
2016,Fremont PD,Dodge,34,3,0,5,2,1,2,0,0,0,26521,1.4,2,1026
2016,Gering PD,Scotts Bluff,15,1,0,2,0,0,2,0,0,0,8335,1.9,0,197
2016,Grand Island PD,Hall,78,7,3,14,0,4,2,0,0,0,51861,1.6,0,2522
2016,Hastings PD,Adams,33,6,1,13,0,4,0,0,0,0,24849,1.6,0,1360
2016,Holdrege PD,Phelps,9,1,1,5,0,0,0,0,0,0,5512,1.8,0,206
2016,Kearney PD,Buffalo,53,3,13,0,0,0,0,0,0,0,32885,1.7,0,1183
2016,LaVista PD,Sarpy,31,3,1,4,0,1,1,0,0,0,18049,1.9,0,367
2016,Lexington PD,Dawson,21,0,0,2,0,0,0,0,0,0,10122,2.1,0,340
2016,Lincoln PD,Lancaster,278,49,50,88,0,10,1,0,0,0,276585,1.2,0,13255
2016,Madison PD,Madison,3,0,1,0,2,0,0,0,3,0,8389,0.4,0,31
2016,Norfolk PD,Madison,39,1,3,14,0,0,0,0,0,0,24490,1.6,0,589
2016,North Platte PD,Lincoln,38,2,22,3,0,2,1,0,0,0,24231,1.7,0,1346
2016,Omaha PD,Douglas,700,148,42,98,37,24,3,0,24,0,452252,1.9,0,26133
2016,Plattsmouth PD,Cass,13,1,0,3,0,0,0,0,0,0,6484,2.2,2,174
2016,Ralston PD,Sarpy,13,1,0,2,0,1,0,0,0,0,7581,1.8,0,305
2016,Schuyler PD,Colfax,8,0,0,2,1,0,0,0,0,0,6155,1.3,0,0
2016,Scottsbluff PD,Scotts Bluff,27,3,4,1,0,0,1,0,0,0,14825,2,0,912
2016,Sidney PD,Cheyenne,12,2,0,2,0,0,0,0,0,0,6960,2,0,202
2016,Wayne PD,Wayne,7,0,2,2,0,0,1,1,1,0,5554,1.3,0,0
2016,York PD,York,16,0,1,5,0,0,0,0,0,0,8008,2,0,250