year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2007,Alliance PD,Box Butte,15,2,0,7,0,0,2.0,,1.0,,"8,054",2.1,
2007,Beatrice PD,Gage,16,5,3,8,0,3,1.0,,,,"12,972",1.6,
2007,Bellevue PD,Sarpy,80,6,7,9,0,8,1.0,,1.0,,"48,067",1.8,
2007,Blair PD,Washington,15,0,0,2,2,0,,,,,"7,962",1.9,
2007,Chadron PD,Dawes,10,2,2,3,0,4,2.0,,,,"5,158",2.3,
2007,Columbus PD,Platte,30,3,2,11,0,0,2.0,,,,"21,420",1.5,
2007,Crete PD,Saline,9,2,1,6,2,0,,,,,"6,345",1.7,
2007,Fremont PD,Dodge,35,3,1,8,3,5,,,,,"25,423",1.5,3.0
2007,Gering PD,Scotts Bluff,14,1,0,3,0,3,,,,,"7,677",2.0,
2007,Grand Island PD,Hall,70,5,0,10,0,8,,,,,"44,812",1.7,
2007,Hastings PD,Adams,34,4,1,13,0,2,1.0,,,,"25,250",1.5,3.0
2007,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,"5,281",1.9,
2007,Kearney PD,Buffalo,45,2,5,7,0,1,5.0,,3.0,,"29,652",1.6,
2007,LaVista PD,Sarpy,28,3,0,4,0,1,,,,,"16,816",1.8,
2007,Lexington PD,Dawson,14,1,0,2,0,0,,,,,"10,262",1.5,
2007,Lincoln PD,Lancaster,262,46,21,74,0,5,9.0,,,,"243,243",1.3,
2007,McCook PD,Red Willow,15,0,0,4,0,2,,,,,"7,491",2.0,
2007,Nebraska City PD,Otoe,9,3,0,1,1,0,1.0,,,,"7,106",1.7,
2007,Norfolk PD,Madison,35,1,3,17,0,1,4.0,,,,"23,977",1.5,
2007,North Platte PD,Lincoln,42,0,5,20,0,1,,,,,"24,436",1.7,
2007,Omaha PD,Douglas,607,148,44,121,30,24,67.0,,31.0,,"431,810",1.7,
2007,Papillion PD,Sarpy,27,6,1,3,0,1,3.0,,,,"21,748",1.5,
2007,Plattsmouth PD,Cass,15,0,0,0,0,0,1.0,,,,"7,070",2.1,5.0
2007,Ralston PD,Sarpy,13,0,0,2,0,0,,,,,"6,144",2.1,
2007,Schuyler PD,Colfax,6,0,0,2,0,0,2.0,,,,"5,194",1.2,
2007,Scottsbluff PD,Scotts Bluff,30,2,1,4,0,0,,,,,"14,719",2.2,
2007,Seward PD,Seward,9,0,1,1,0,0,2.0,,,,"6,922",1.3,
2007,Sidney PD,Cheyenne,12,0,0,2,0,1,2.0,,,1.0,"6,386",1.9,
2007,So Sioux City PD,Dakota,26,1,0,1,0,2,2.0,,,,"12,139",2.2,
2007,Wayne PD,Wayne,8,1,1,4,1,0,,,,,"5,136",1.8,
2007,York PD,York,14,0,1,5,0,0,,,,,"7,921",1.8,
2008,Alliance PD,Box Butte,16,1,0,5,0,1,2.0,,2.0,,"7,963",2.1,
2008,Beatrice PD,Gage,17,5,3,7,0,0,,,,,"12,913",1.7,
2008,Bellevue PD,Sarpy,85,6,7,12,0,7,,,2.0,2.0,"48,894",1.9,
2008,Blair PD,Washington,17,0,1,2,2,2,,,,,"7,914",2.1,
2008,Chadron PD,Dawes,12,1,1,5,0,2,,,,,"5,473",2.4,
2008,Columbus PD,Platte,30,3,3,13,0,0,2.0,,,,"21,438",1.5,
2008,Crete PD,Saline,9,2,2,5,1,1,1.0,,,,"6,292",1.7,3.0
2008,Fremont PD,Dodge,37,3,1,8,4,3,,,,,"25,362",1.6,4.0
2008,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,"7,633",2.0,
2008,Grand Island PD,Hall,70,5,1,10,0,8,,,,,"45,022",1.7,
2008,Hastings PD,Adams,31,5,1,13,0,2,3.0,,,,"25,428",1.4,3.0
2008,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,"5,116",2.0,
2008,Kearney PD,Buffalo,48,3,5,10,0,1,1.0,,,,"31,086",1.6,
2008,LaVista PD,Sarpy,28,3,0,4,0,1,2.0,,,,"17,103",1.8,
2008,Lexington PD,Dawson,15,1,0,2,0,0,,,,,"10,172",1.6,
2008,Lincoln PD,Lancaster,265,49,25,75,0,7,3.0,,,,"251,550",1.2,
2008,McCook PD,Red Willow,16,0,0,4,1,2,,,,,"7,401",2.2,
2008,Nebraska City PD,Otoe,12,3,0,1,0,0,,,,,"7,049",2.1,
2008,Norfolk PD,Madison,34,3,1,15,0,0,3.0,,1.0,,"23,096",1.6,
2008,North Platte PD,Lincoln,42,0,5,20,0,1,,,,,"24,098",1.7,
2008,Omaha PD,Douglas,601,147,35,110,43,21,78.0,,51.0,,"437,238",1.7,
2008,Papillion PD,Sarpy,32,6,1,3,0,1,,,,,"22,833",1.7,
2008,Plattsmouth PD,Cass,15,0,0,2,0,0,,,,,"6,932",2.2,5.0
2008,Ralston PD,Sarpy,13,0,0,2,0,0,,,,,"6,087",2.1,
2008,Schuyler PD,Colfax,6,1,0,2,0,0,1.0,,,,"5,111",1.4,
2008,Scottsbluff PD,Scotts Bluff,28,1,1,4,0,8,3.0,,,,"14,667",2.0,
2008,Seward PD,Seward,11,0,1,1,0,0,,,,,"6,759",1.6,
2008,Sidney PD,Cheyenne,14,0,0,2,0,1,,,,,"6,492",2.2,
2008,So Sioux City PD,Dakota,27,1,0,1,0,1,,,,,"12,005",2.3,
2008,Wayne PD,Wayne,8,1,1,4,1,1,,,,,"5,257",1.7,
2008,York PD,York,14,0,1,5,0,0,,,,,"7,884",1.8,
2009,Alliance PD,Box Butte,15,2,0,7,0,2,1.0,,,,"8,024",2.1,
2009,Beatrice PD,Gage,17,5,3,7,0,2,,,,,"12,793",1.7,
2009,Bellevue PD,Sarpy,93,5,5,12,0,7,7.0,,3.0,2.0,"50,311",1.9,
2009,Blair PD,Washington,17,0,0,2,2,0,,,,,"7,820",2.2,
2009,Chadron PD,Dawes,12,2,1,4,0,5,,,,,"5,409",2.6,
2009,Columbus PD,Platte,33,3,2,13,0,0,1.0,,1.0,,"21,652",1.7,
2009,Crete PD,Saline,9,2,1,5,0,1,,,,,"6,258",1.8,3.0
2009,Fremont PD,Dodge,39,2,1,9,4,7,,,,,"25,220",1.6,4.0
2009,Gering PD,Scotts Bluff,14,1,0,3,0,2,,,,1.0,"7,672",2.0,
2009,Grand Island PD,Hall,70,5,1,10,0,10,,,,,"46,083",1.6,
2009,Hastings PD,Adams,31,5,1,13,0,2,3.0,,,,"25,476",1.4,2.0
2009,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,"5,122",2.0,
2009,Kearney PD,Buffalo,49,3,5,8,0,1,,,,,"30,759",1.7,
2009,LaVista PD,Sarpy,30,3,0,4,0,1,,,,,"17,293",1.9,
2009,Lexington PD,Dawson,12,1,0,2,0,0,3.0,,,,"10,138",1.3,
2009,Lincoln PD,Lancaster,270,49,28,67,0,12,2.0,,4.0,,"254,438",1.3,
2009,McCook PD,Red Willow,16,0,0,4,0,2,,,,,"7,377",2.2,
2009,Nebraska City PD,Otoe,12,2,0,1,0,0,,,,,"7,011",2.0,
2009,Norfolk PD,Madison,36,2,3,15,0,0,,,2.0,,"22,892",1.7,
2009,North Platte PD,Lincoln,42,0,5,20,0,1,,,,,"24,127",1.7,
2009,Omaha PD,Douglas,624,145,35,109,42,24,71.0,,35.0,,"443,037",1.7,
2009,Papillion PD,Sarpy,33,6,1,3,0,1,,,,,"24,390",1.6,
2009,Plattsmouth PD,Cass,15,0,0,2,0,0,1.0,,,,"6,902",2.2,4.0
2009,Ralston PD,Sarpy,11,0,0,2,0,0,2.0,,,,"6,077",1.8,
2009,Schuyler PD,Colfax,6,2,0,2,0,0,1.0,,,,"5,136",1.6,
2009,Scottsbluff PD,Scotts Bluff,28,2,1,4,0,0,2.0,,,,"14,773",2.0,
2009,Seward PD,Seward,9,0,1,1,4,0,2.0,,,,"6,883",1.3,
2009,Sidney PD,Cheyenne,13,0,0,2,0,1,1.0,,,,"6,514",2.0,
2009,Wayne PD,Wayne,8,1,3,3,1,1,,,,,"5,268",1.7,
2009,York PD,York,14,0,1,5,0,0,,,,,"7,847",1.8,
2010,Alliance PD,Box Butte,16,1,0,7,0,2,1.0,,,,"8,491",2.0,
2010,Beatrice PD,Gage,17,4,4,6,0,1,,,,,"12,459",1.7,
2010,Bellevue PD,Sarpy,94,7,5,13,0,7,4.0,,1.0,1.0,"50,137",2.0,
2010,Blair PD,Washington,17,0,0,2,2,0,,,,,"7,990",2.1,
2010,Chadron PD,Dawes,13,1,3,3,0,5,,,,,"5,851",2.4,
2010,Columbus PD,Platte,30,3,2,13,0,0,2.0,,1.0,,"22,111",1.5,
2010,Crete PD,Saline,8,2,1,5,2,1,1.0,,,,"6,960",1.4,2.0
2010,Fremont PD,Dodge,37,2,1,9,5,6,2.0,,,,"26,397",1.5,5.0
2010,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,"8,500",1.8,
2010,Grand Island PD,Hall,66,6,1,9,0,7,5.0,,,,"48,520",1.5,
2010,Hastings PD,Adams,32,4,0,12,0,4,2.0,,,,"24,907",1.4,2.0
2010,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,"5,495",1.8,
2010,Kearney PD,Buffalo,48,4,5,9,0,0,1.0,,,,"30,787",1.7,
2010,LaVista PD,Sarpy,30,3,0,3,0,1,,,1.0,,"15,758",2.1,
2010,Lexington PD,Dawson,15,1,0,2,0,0,1.0,,,,"10,230",1.6,
2010,Lincoln PD,Lancaster,278,47,18,67,0,9,,,1.0,,"258,379",1.3,
2010,McCook PD,Red Willow,16,0,0,4,1,1,,,1.0,2.0,"7,698",2.1,
2010,Nebraska City PD,Otoe,14,1,0,1,0,0,,,,,"7,289",2.1,
2010,Norfolk PD,Madison,37,2,2,13,0,1,,,,,"24,210",1.6,
2010,North Platte PD,Lincoln,41,0,5,20,0,1,1.0,,,,"24,733",1.7,
2010,Omaha PD,Douglas,641,148,34,95,37,27,31.0,,49.0,,"408,958",1.9,
2010,Papillion PD,Sarpy,34,5,1,3,0,1,,,,,"18,894",2.1,
2010,Plattsmouth PD,Cass,14,0,0,3,0,0,2.0,,,3.0,"6,502",2.2,3.0
2010,Ralston PD,Sarpy,11,2,0,2,0,0,,,,,"5,943",2.2,
2010,Schuyler PD,Colfax,6,2,0,2,0,0,,,,,"6,211",1.3,
2010,Scottsbluff PD,Scotts Bluff,29,2,1,4,0,0,1.0,,,,"15,039",2.1,
2010,Seward PD,Seward,8,1,1,1,3,0,2.0,,,,"6,964",1.3,
2010,So Sioux City PD,Dakota,26,1,0,1,0,2,1.0,,,,"13,353",2.0,
2010,Sidney PD,Cheyenne,12,0,0,2,0,1,2.0,,,,"6,757",1.8,
2010,Wayne PD,Wayne,8,1,2,3,1,1,,,,,"5,660",1.6,
2010,York PD,York,13,0,1,5,0,0,1.0,,,,"7,766",1.7,
2011,Alliance PD,Box Butte,16,2,0,7,0,2,,,,,"8,567",2.1,
2011,Beatrice PD,Gage,17,4,3,7,0,3,,,,,"12,570",1.7,
2011,Bellevue PD,Sarpy,90,8,3,12,0,9,,,2.0,,"50,584",1.9,
2011,Blair PD,Washington,17,0,1,2,2,2,,,,,"8,061",2.1,
2011,Chadron PD,Dawes,13,1,3,3,0,2,,,,,"5,903",2.4,
2011,Columbus PD,Platte,33,3,2,13,0,0,,,2.0,,"22,308",1.6,
2011,Crete PD,Saline,9,2,2,5,0,1,,,,,"7,022",1.6,3.0
2011,Fremont PD,Dodge,35,2,1,9,4,4,3.0,,,,"26,633",1.4,4.0
2011,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,"8,576",1.7,
2011,Grand Island PD,Hall,71,6,1,10,0,5,,,,2.0,"48,953",1.6,
2011,Hastings PD,Adams,30,5,0,11,0,5,3.0,,1.0,,"25,129",1.4,3.0
2011,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,"5,544",1.8,
2011,Kearney PD,Buffalo,52,3,5,9,0,0,,,,,"31,062",1.8,
2011,LaVista PD,Sarpy,32,2,1,4,0,1,,,,,"15,899",2.1,
2011,Lexington PD,Dawson,15,1,0,2,0,0,2.0,,,,"10,321",1.6,
2011,Lincoln PD,Lancaster,280,47,29,65,0,9,,,2.0,,"260,685",1.3,
2011,McCook PD,Red Willow,16,0,1,4,1,4,,,,,"7,767",2.1,
2011,Nebraska City PD,Otoe,13,1,0,1,0,0,,,,,"7,354",1.9,
2011,Norfolk PD,Madison,37,1,4,16,0,0,,,,,"24,426",1.6,
2011,North Platte PD,Lincoln,39,0,4,19,0,1,3.0,,2.0,,"24,954",1.6,
2011,Omaha PD,Douglas,632,146,36,110,36,28,11.0,,29.0,,"412,608",1.9,
2011,Papillion PD,Sarpy,33,5,1,3,0,1,1.0,,,,"19,063",2.0,
2011,Plattsmouth PD,Cass,14,0,0,3,0,0,,,,,"6,560",2.1,3.0
2011,Ralston PD,Sarpy,11,2,0,2,0,0,,,,,"5,996",2.2,
2011,Schuyler PD,Colfax,7,1,0,2,0,0,,,,,"6,266",1.3,
2011,Scottsbluff PD,Scotts Bluff,29,2,1,4,0,0,,,,,"15,173",2.0,
2011,Seward PD,Seward,10,1,1,1,0,0,,,,,"7,026",1.6,2.0
2011,Sidney PD,Cheyenne,14,0,0,2,0,1,,,,,"6,817",2.1,
2011,So Sioux City PD,Dakota,26,1,0,1,0,2,,,,,"13,472",2.0,
2011,Wayne PD,Wayne,5,1,2,2,0,0,3.0,1.0,1.0,1.0,"5,711",1.1,
2011,York PD,York,13,0,1,5,0,0,1.0,,,,"7,835",1.7,
2012,Alliance PD,Box Butte,15,2,0,8,0,0,1.0,,,,"8,608",2.0,
2012,Beatrice PD,Gage,18,4,4,6,0,0,,,,,"12,388",1.8,
2012,Bellevue PD,Sarpy,86,8,5,9,0,8,2.0,,2.0,1.0,"51,678",1.8,
2012,Blair PD,Washington,15,0,1,2,2,2,2.0,,,,"8,069",1.9,
2012,Chadron PD,Dawes,11,2,4,2,0,1,1.0,,,1.0,"5,901",2.2,
2012,Columbus PD,Platte,32,3,2,14,0,0,1.0,,1.0,,"22,537",1.6,
2012,Crete PD,Saline,9,2,2,4,0,1,,,,,"7,077",1.6,3.0
2012,Fremont PD,Dodge,35,2,1,9,0,6,2.0,,,,"26,641",1.4,4.0
2012,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,"8,578",1.7,
